ID,Name,Code,Country
1,Private flight,N/A,
2,135 Airways,GNL,United States
3,1Time Airline,RNX,South Africa
4,2 Sqn No 1 Elementary Flying Training School,WYT,United Kingdom
5,213 Flight Unit,TFU,Russia
6,223 Flight Unit State Airline,CHD,Russia
7,224th Flight Unit,TTF,Russia
8,247 Jet Ltd,TWF,United Kingdom
9,3D Aviation,SEC,United States
10,40-Mile Air,MLA,United States
11,4D Air,QRT,Thailand
12,611897 Alberta Limited,THD,Canada
13,Ansett Australia,AAA,Australia
14,Abacus International,,Singapore
15,Abelag Aviation,AAB,Belgium
16,Army Air Corps,AAC,United Kingdom
17,Aero Aviation Centre Ltd.,AAD,Canada
18,Aero Servicios Ejecutivos Internacionales,SII,Mexico
19,Aero Biniza,BZS,Mexico
20,Aero Albatros,ABM,Spain
21,Aigle Azur,AAF,France
22,Aloha Airlines,AAH,United States
23,Alaska Island Air,AAK,United States
24,American Airlines,AAL,United States
25,Aviation Management Corporation,AAM,United States
26,Atlantis Airlines (USA),AAO,United States
27,Aerovista Airlines,AAP,United Arab Emirates
28,Asiana Airlines,AAR,Republic of Korea
29,Askari Aviation,AAS,Pakistan
30,Australia Asia Airlines,AAU,Australia
31,Astro Air International,AAV,United States
32,Afriqiyah Airways,AAW,Libya
33,Afrinat International Airlines,AFU,Gambia
34,Afric'air Express,AAX,Ivory Coast
35,Allegiant Air,AAY,United States
36,Angus Aviation,AAZ,Canada
37,Artem-Avia,ABA,Ukraine
38,African Business and Transportations,ABB,Democratic Republic of the Congo
39,Aban Air,ABE,Iran
40,Aerial Oy,ABF,Finland
41,Abakan-Avia,ABG,Russia
42,ABSA - Aerolinhas Brasileiras,TUS,Brazil
43,Abaet,ABJ,Brazil
44,Alberta Citylink,ABK,Canada
45,APSA Colombia,ABO,Colombia
46,Aerovias Bueno,ABU,Colombia
47,Aerocenter,ACR,AEROCENTER
48,Antrak Air,ABV,Ghana
49,Airborne Express,ABX,United States
50,ABX Air,ABX,United States
51,ATA Brasil,ABZ,Brazil
52,Avcard Services,ACC,United Kingdom
53,Academy Airlines,ACD,United States
